name,type,address,province,city,district,wgs84_lng,wgs84_lat
碧头,交通设施服务;地铁站;地铁站,11号线,深圳市,宝安区,,113.8149085,22.78738204
后亭,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8218441,22.75554441
沙井,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.819399,22.73377033
马安山,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.811951,22.71990934
塘尾,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8128273,22.70499196
桥头,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8059333,22.69104096
福永,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8009968,22.67646482
机场北,交通设施服务;地铁站;地铁站,11号线,深圳市,宝安区,,113.7930823,22.65402276
机场,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8086063,22.62695214
碧海湾,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8511506,22.57808316
宝安,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8755046,22.5576328
南山,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,南山区,113.9187361,22.52706586
松岗,交通设施服务;地铁站;地铁站,11号线;(在建)6号线/光明线,广东省,深圳市,宝安区,113.8245853,22.7752503
红树湾南,交通设施服务;地铁站;地铁站,11号线;(在建)9号线;(在建)9号线西延线,广东省,深圳市,南山区,113.9665085,22.52597482
机场东,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8174792,22.65015325
后瑞,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8304503,22.63180114
固戍,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8418249,22.60435422
西乡,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8581217,22.57816964
坪洲,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8658012,22.57193938
宝体,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8757496,22.56378347
新安,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8897532,22.55051989
高新园,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9489503,22.54323025
华强路,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,福田区,114.0800042,22.54314413
科学馆,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,福田区,114.0898205,22.54329959
鲤鱼门,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.8982153,22.53505898
大新,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9102126,22.53528213
桃园,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9199961,22.53539919
深大,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9392955,22.54168091
白石洲,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9621318,22.54256655
华侨城,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9804115,22.53640081
侨城东,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,福田区,113.9916654,22.53528408
竹子林,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,福田区,114.008888,22.53618303
香蜜湖,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,福田区,114.0335531,22.54164519
罗湖,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,罗湖区,114.1135672,22.53477374
国贸,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,罗湖区,114.1138101,22.5423705
岗厦,交通设施服务;地铁站;地铁站,1号线/罗宝线;(在建)10号线/坂田线,广东省,深圳市,福田区,114.0630668,22.53755575
车公庙,交通设施服务;地铁站;地铁站,1号线/罗宝线;11号线;(在建)7号线;(在建)9号线,广东省,深圳市,福田区,114.0207728,22.53903873
大剧院,交通设施服务;地铁站;地铁站,1号线/罗宝线;2号线/蛇口线,广东省,深圳市,罗湖区,114.1026965,22.54448331
世界之窗,交通设施服务;地铁站;地铁站,1号线/罗宝线;2号线/蛇口线,广东省,深圳市,南山区,113.9691478,22.53990789
老街,交通设施服务;地铁站;地铁站,1号线/罗宝线;3号线/龙岗线,广东省,深圳市,罗湖区,114.1118367,22.5469206
购物公园,交通设施服务;地铁站;地铁站,1号线/罗宝线;3号线/龙岗线,广东省,深圳市,福田区,114.0494717,22.53737878
会展中心,交通设施服务;地铁站;地铁站,1号线/罗宝线;4号线/龙华线,广东省,深圳市,福田区,114.055984,22.53748128
宝安中心,交通设施服务;地铁站;地铁站,1号线/罗宝线;5号线/环中线,广东省,深圳市,宝安区,113.8823609,22.5576119
前海湾,交通设施服务;地铁站;地铁站,1号线/罗宝线;5号线/环中线;11号线,深圳市,南山区,,113.893071,22.54017538
香蜜,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,福田区,114.0187972,22.55556808
香梅北,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,福田区,114.0276428,22.55663202
侨城北,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.9841805,22.54689195
深康,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,福田区,113.9941213,22.54910874
侨香,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,福田区,114.0093468,22.55260759
莲花西,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,福田区,114.0449302,22.54939998
燕南,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,福田区,114.087434,22.54722278
湖贝,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,罗湖区,114.1203492,22.54698349
科苑,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.9413156,22.53002974
红树湾,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.9635138,22.52810172
登良,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.9327337,22.51217242
海月,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.9328212,22.50342443
湾厦,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.9337357,22.49637802
水湾,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.9148292,22.49143701
海上世界,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.9102546,22.48815216
东角头,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.9262876,22.48936091
赤湾,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.8938614,22.48252777
蛇口港,交通设施服务;地铁站;地铁站,2号线/蛇口线,广东省,深圳市,南山区,113.9074748,22.47967851
岗厦北,交通设施服务;地铁站;地铁站,2号线/蛇口线;(在建)10号线/坂田线,广东省,深圳市,福田区,114.0641157,22.543637
新秀,交通设施服务;地铁站;地铁站,2号线/蛇口线;(在建)2号线东延线,广东省,深圳市,罗湖区,114.1437288,22.55041717
安托山,交通设施服务;地铁站;地铁站,2号线/蛇口线;(在建)7号线,广东省,深圳市,福田区,114.001271,22.55163184
华强北,交通设施服务;地铁站;地铁站,2号线/蛇口线;(在建)7号线,广东省,深圳市,福田区,114.080284,22.5471257
景田,交通设施服务;地铁站;地铁站,2号线/蛇口线;(在建)9号线,广东省,深圳市,福田区,114.0385341,22.55618336
后海,交通设施服务;地铁站;地铁站,2号线/蛇口线;11号线,广东省,深圳市,南山区,113.9376238,22.52143993
福田,交通设施服务;地铁站;地铁站,2号线/蛇口线;3号线/龙岗线;11号线,广东省,深圳市,福田区,114.0478045,22.54319163
市民中心,交通设施服务;地铁站;地铁站,2号线/蛇口线;4号线/龙华线,广东省,深圳市,福田区,114.0560745,22.5444557
黄贝岭,交通设施服务;地铁站;地铁站,2号线/蛇口线;5号线/环中线,广东省,深圳市,罗湖区,114.1317755,22.54888267
南联,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.2607013,22.72479574
龙城广场,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.2497605,22.71974937
吉祥,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.2394805,22.71232426
爱联,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.2295758,22.70033051
大运,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.223308,22.68855414
荷坳,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.2194497,22.6759128
永湖,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.2131716,22.66182546
横岗,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.2041062,22.65126325
六约,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.1756892,22.63709861
塘坑,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.1877995,22.64197651
大芬,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.1332986,22.61689595
丹竹头,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.1430113,22.62247127
木棉湾,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,龙岗区,114.1252106,22.60969218
草埔,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,罗湖区,114.1113944,22.5871314
水贝,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,罗湖区,114.1198834,22.57668134
翠竹,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,罗湖区,114.1249594,22.55898186
通新岭,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,福田区,114.0911477,22.55180684
晒布,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,罗湖区,114.1175709,22.55193127
益田,交通设施服务;地铁站;地铁站,3号线/龙岗线,广东省,深圳市,福田区,114.0461005,22.5191112
双龙,交通设施服务;地铁站;地铁站,3号线/龙岗线;(规划)12号线/南宝线,广东省,深圳市,龙岗区,114.2725888,22.73162331
莲花村,交通设施服务;地铁站;地铁站,3号线/龙岗线;(在建)10号线/坂田线,广东省,深圳市,福田区,114.0627052,22.55134732
田贝,交通设施服务;地铁站;地铁站,3号线/龙岗线;(在建)7号线,广东省,深圳市,罗湖区,114.1249717,22.56997986
华新,交通设施服务;地铁站;地铁站,3号线/龙岗线;(在建)7号线,广东省,深圳市,福田区,114.0816179,22.55166365
石厦,交通设施服务;地铁站;地铁站,3号线/龙岗线;(在建)7号线,广东省,深圳市,福田区,114.0485087,22.52643416
红岭,交通设施服务;地铁站;地铁站,3号线/龙岗线;(在建)9号线,广东省,深圳市,福田区,114.0981112,22.55186833
少年宫,交通设施服务;地铁站;地铁站,3号线/龙岗线;4号线/龙华线,广东省,深圳市,福田区,114.0550531,22.55133989
布吉,交通设施服务;地铁站;地铁站,3号线/龙岗线;5号线/环中线,广东省,深圳市,龙岗区,114.1164726,22.60445142
清湖,交通设施服务;地铁站;地铁站,4号线/龙华线,广东省,深圳市,宝安区,114.03145,22.66683053
龙华,交通设施服务;地铁站;地铁站,4号线/龙华线,广东省,深圳市,宝安区,114.0173621,22.6544149
龙胜,交通设施服务;地铁站;地铁站,4号线/龙华线,广东省,深圳市,宝安区,114.0069785,22.64755653
上塘,交通设施服务;地铁站;地铁站,4号线/龙华线,广东省,深圳市,宝安区,114.0077751,22.63995062
白石龙,交通设施服务;地铁站;地铁站,4号线/龙华线,广东省,深圳市,宝安区,114.037395,22.60431655
民乐,交通设施服务;地铁站;地铁站,4号线/龙华线,广东省,深圳市,宝安区,114.043704,22.5968736
莲花北,交通设施服务;地铁站;地铁站,4号线/龙华线,广东省,深圳市,福田区,114.0542852,22.5632512
福田口岸,交通设施服务;地铁站;地铁站,4号线/龙华线;(在建)10号线/坂田线,广东省,深圳市,福田区,114.0641503,22.51843818
红山,交通设施服务;地铁站;地铁站,4号线/龙华线;(在建)6号线/光明线,广东省,深圳市,宝安区,114.0184495,22.62473837
福民,交通设施服务;地铁站;地铁站,4号线/龙华线;(在建)7号线;(在建)10号线/坂田线,广东省,深圳市,福田区,114.0597013,22.52584307
上梅林,交通设施服务;地铁站;地铁站,4号线/龙华线;(在建)9号线,广东省,深圳市,福田区,114.0543225,22.57317416
深圳北站,交通设施服务;地铁站;地铁站,4号线/龙华线;5号线/环中线;(在建)6号线/光明线,广东省,深圳市,宝安区,114.0252262,22.61326765
坂田,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,龙岗区,114.0657211,22.63017049
杨美,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,龙岗区,114.0748407,22.62945533
上水径,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,龙岗区,114.1005379,22.62448506
民治,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,宝安区,114.0357569,22.62028894
下水径,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,龙岗区,114.1055462,22.61750935
长龙,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,龙岗区,114.108714,22.61073228
塘朗,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,南山区,113.9946691,22.59296064
长岭陂,交通设施服务;地铁站;地铁站,5号线/环中线,深圳市,南山区,,114.0052508,22.60222536
百鸽笼,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,龙岗区,114.1252495,22.59813888
兴东,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,宝安区,113.9141504,22.58486517
留仙洞,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,南山区,113.9386636,22.5835453
大学城,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,南山区,113.9603916,22.58490916
布心,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,罗湖区,114.132981,22.58369509
洪浪北,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,宝安区,113.9057221,22.57759187
灵芝,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,宝安区,113.8992926,22.57201502
翻身,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,宝安区,113.8883579,22.56274041
怡景,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,罗湖区,114.1350574,22.55857069
临海,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,宝安区,113.8844453,22.54720989
宝华,交通设施服务;地铁站;地铁站,5号线/环中线,广东省,深圳市,宝安区,113.8802062,22.55268188
五和,交通设施服务;地铁站;地铁站,5号线/环中线;(在建)10号线/坂田线,广东省,深圳市,龙岗区,114.0555585,22.62953521
西丽,交通设施服务;地铁站;地铁站,5号线/环中线;(在建)7号线,广东省,深圳市,南山区,113.9489478,22.58367158
太安,交通设施服务;地铁站;地铁站,5号线/环中线;(在建)7号线,广东省,深圳市,罗湖区,114.1320534,22.5761746
